node,inflow,supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,constraint_ok
2157,4.8316906e-13,0.0,0.0,4.9737992e-13,4.8316906e-13,4.9737992e-13,True
2158,0.9888653,0.0,0.0,0.9888653,0.9888653,0.9888653,True
2159,0.0,0.0,0.0,0.0,0.0,0.0,True
2160,146.81806,0.0,0.0,146.81806,146.81806,146.81806,True
2161,394.075554,0.0,0.0,394.07555,394.075554,394.07555,True
2162,58.993483,0.0,0.0,58.99348242,58.993483,58.99348242,True
2163,16.263092,0.0,0.0,16.26309257,16.263092,16.26309257,True
2164,5e-13,0.0,0.0,5e-13,5e-13,5e-13,True
2165,30.336444,0.0,0.0,30.336444,30.336444,30.336444,True
2166,60.064313,0.0,0.0,60.064313,60.064313,60.064313,True
2167,5e-13,0.0,0.0,0.0,5e-13,0.0,True
2168,1e-12,0.0,0.0,1e-12,1e-12,1e-12,True
2169,96.246769,0.0,0.0,96.246769,96.246769,96.246769,True
2170,458.88638,0.0,0.0,458.88638,458.88638,458.88638,True
